brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,group_count,group_median,group_q1,group_q3,group_iqr,lower_bound,upper_bound,eligible_for_detection,price_anomaly,anomaly_reason,price_deviation_percentage,flag_baseline,absolute_deviation,flag_iqr_and_15pct,flag_iqr_and_20pct,flag_iqr_and_30pct,review_label,review_reason,review_confidence,review_notes
TOYOTA,AQUA,2013,1500.0,AUTOMATIC,PETROL,132000.0,WATTALA,2024-12-24,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,76.5,53,74.0725,73.15,75.0,1.8499999999999943,70.37500000000001,77.77499999999999,True,False,within_comparable_range,3.277194640386101,False,3.277194640386101,False,False,False,,,,
TOYOTA,AQUA X URBAN,2015,1500.0,AUTOMATIC,HYBRID,110000.0,COLOMBO,2025-02-01,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,86.0,16,89.27272727272727,88.17500000000001,90.425,2.25,84.80000000000001,93.8,True,False,within_comparable_range,-3.665987780040726,False,3.665987780040726,False,False,False,,,,
TATA,NANO,2011,624.0,MANUAL,PETROL,154000.0,MAWANELLA,2024-12-25,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,AVAILABLE,10.75,11,10.9,10.825,11.441666666666666,0.6166666666666671,9.9,12.366666666666667,True,False,within_comparable_range,-1.376146788990829,False,1.376146788990829,False,False,False,,,,
CHERY,QQ,2011,800.0,MANUAL,PETROL,154000.0,BANDARAWELA,2024-12-13,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,13.85,5,13.85,12.0375,14.9,2.8625000000000007,7.743749999999999,19.19375,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
SUZUKI,SPACIA CUSTOM,2017,650.0,AUTOMATIC,PETROL,88000.0,COLOMBO,2025-01-18,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,68.95,7,69.0,68.95,69.875,0.9249999999999972,67.5625,71.26249999999999,True,False,within_comparable_range,-0.0724637681159379,False,0.0724637681159379,False,False,False,,,,
SUZUKI,ALTO,2016,640.0,AUTOMATIC,PETROL,99000.0,EHELIYAGODA,2024-12-18,ONGOING LEASE,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,34.41428571428572,26,34.41428571428572,34.41428571428572,34.575,0.1607142857142847,34.173214285714295,34.81607142857143,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
TOYOTA,PREMIO G SUPERIOR,2010,1500.0,AUTOMATIC,PETROL,165000.0,KULIYAPITIYA,2025-01-23,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,105.0,10,104.5625,102.5,105.0,2.5,98.75,108.75,True,False,within_comparable_range,0.4184100418410041,False,0.4184100418410041,False,False,False,,,,
SUZUKI,CELERIO,2014,1000.0,AUTOMATIC,PETROL,121000.0,KADAWATHA,2024-12-17,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,49.25,10,46.93055555555556,45.1875,47.5,2.3125,41.71875,50.96875,True,False,within_comparable_range,4.9422906185261875,False,4.9422906185261875,False,False,False,,,,
SUZUKI,MARUTI 800,2006,800.0,MANUAL,PETROL,209000.0,MIRIGAMA,2024-12-28,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,17.5,11,16.9625,16.88125,17.25,0.3687499999999986,16.328125000000004,17.803124999999998,True,False,within_comparable_range,3.1687546057479823,False,3.1687546057479823,False,False,False,,,,
MICRO,PANDA CROSS,2016,1300.0,MANUAL,PETROL,99000.0,GAMPAHA,2025-01-15,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,32.76428571428572,9,32.76428571428572,32.6,33.5,0.8999999999999986,31.250000000000004,34.849999999999994,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
TOYOTA,STARLET,1996,1350.0,MANUAL,PETROL,319000.0,COLOMBO,2025-02-05,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,34.75,10,30.375,28.525,31.75,3.2250000000000014,23.687499999999996,36.587500000000006,True,False,within_comparable_range,14.40329218106996,False,14.40329218106996,False,False,False,,,,
SUZUKI,WAGON R STINGRAY,2017,660.0,AUTOMATIC,HYBRID,88000.0,MAHARAGAMA,2025-01-21,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,65.5,49,68.31290322580645,67.0,68.75,1.75,64.375,71.375,True,False,within_comparable_range,-4.11767483590688,False,4.11767483590688,False,False,False,,,,
SUZUKI,ALTO JAPAN,2017,660.0,AUTOMATIC,PETROL,88000.0,KULIYAPITIYA,2025-01-29,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,53.575,27,53.575,53.575,53.575,0.0,53.575,53.575,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
SUZUKI,ESTILO,2011,1000.0,MANUAL,PETROL,154000.0,KANDY,2025-01-23,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,34.0,13,33.60454545454545,33.0,34.0,1.0,31.5,35.5,True,False,within_comparable_range,1.1767888543216638,False,1.1767888543216638,False,False,False,,,,
