brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,group_count,group_median,group_q1,group_q3,group_iqr,lower_bound,upper_bound,eligible_for_detection,price_anomaly,anomaly_reason,price_deviation_percentage
TOYOTA,AQUA,2012,1500.0,AUTOMATIC,HYBRID,143000.0,PANADURA,2025-01-03,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,69.9,45,70.95,69.5,72.5,3.0,65.0,77.0,True,False,within_comparable_range,-1.4799154334038014
TOYOTA,AQUA,2014,1500.0,AUTOMATIC,HYBRID,121000.0,KULIYAPITIYA,2025-01-01,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,76.98434782608696,34,76.98434782608696,76.0,77.875,1.875,73.1875,80.6875,True,False,within_comparable_range,0.0
TOYOTA,AQUA,2016,1500.0,AUTOMATIC,PETROL,99000.0,KURUNEGALA,2025-01-01,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,71.25,3,80.0,75.625,83.25,7.625,64.1875,94.6875,False,False,within_comparable_range,-10.9375
TOYOTA,AQUA,2013,1500.0,AUTOMATIC,ELECTRIC,132000.0,KIRIBATHGODA,2025-01-01,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,75.0,53,74.0725,73.15,75.0,1.8499999999999943,70.37500000000001,77.77499999999999,True,False,within_comparable_range,1.2521516082216677
TOYOTA,AQUA,2012,1500.0,AUTOMATIC,PETROL,143000.0,KIRIBATHGODA,2024-12-31,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,70.95,45,70.95,69.5,72.5,3.0,65.0,77.0,True,False,within_comparable_range,0.0
TOYOTA,AQUA,2015,1500.0,AUTOMATIC,HYBRID,110000.0,HORANA,2024-12-31,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,86.0,25,88.1657894736842,85.5,88.25,2.75,81.375,92.375,True,False,within_comparable_range,-2.4564964331552277
TOYOTA,AQUA,2015,1500.0,AUTOMATIC,PETROL,110000.0,BANDARAGAMA,2024-12-31,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,83.75,25,88.1657894736842,85.5,88.25,2.75,81.375,92.375,True,False,within_comparable_range,-5.008506700892445
TOYOTA,AQUA,2014,1500.0,AUTOMATIC,HYBRID,121000.0,MALABE,2024-12-30,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,73.5,34,76.98434782608696,76.0,77.875,1.875,73.1875,80.6875,True,False,within_comparable_range,-4.5260470790222795
TOYOTA,AQUA,2012,1500.0,AUTOMATIC,HYBRID,143000.0,MINUWANGODA,2024-12-30,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,70.95,45,70.95,69.5,72.5,3.0,65.0,77.0,True,False,within_comparable_range,0.0
TOYOTA,AQUA,2014,1490.0,AUTOMATIC,PETROL,121000.0,KOTTAWA,2024-12-30,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,79.0,34,76.98434782608696,76.0,77.875,1.875,73.1875,80.6875,True,False,within_comparable_range,2.6182623232277544
TOYOTA,AQUA,2012,1500.0,AUTOMATIC,HYBRID,143000.0,KADAWATHA,2024-12-30,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,75.0,45,70.95,69.5,72.5,3.0,65.0,77.0,True,False,within_comparable_range,5.70824524312896
TOYOTA,AQUA,2015,1500.0,AUTOMATIC,PETROL,110000.0,COLOMBO,2024-12-29,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,88.25,25,88.1657894736842,85.5,88.25,2.75,81.375,92.375,True,False,within_comparable_range,0.09551383458199013
TOYOTA,AQUA,2012,1500.0,AUTOMATIC,PETROL,143000.0,ANURADAPURA,2024-12-29,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,74.0,45,70.95,69.5,72.5,3.0,65.0,77.0,True,False,within_comparable_range,4.298801973220574
TOYOTA,AQUA,2014,1490.0,AUTOMATIC,HYBRID,121000.0,MATARA,2024-12-29,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,75.0,34,76.98434782608696,76.0,77.875,1.875,73.1875,80.6875,True,False,within_comparable_range,-2.5775990602268153
TOYOTA,AQUA,2014,1490.0,AUTOMATIC,HYBRID,121000.0,COLOMBO,2024-12-28,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,72.0,34,76.98434782608696,76.0,77.875,1.875,73.1875,80.6875,True,True,price_below_comparable_range,-6.4744950978177425
