brand,model,year_of_manufacture,listing_count
TOYOTA,CARINA,1989,6
TOYOTA,AXIO X GRADE,2007,6
NISSAN,MARCH,2001,6
TOYOTA,COROLLA 110,1997,6
NISSAN,DAYZ,2015,6
SUZUKI,ALTO K10,2016,6
SUZUKI,CELERIO VXI,2016,6
SUZUKI,WAGON R FZ SAFETY,2016,6
SUZUKI,HUSTLER,2015,6
HYUNDAI,SONATA,2000,6
TOYOTA,PREMIO,2015,6
MAZDA,DEMIO,2001,6
ISUZU,GEMINI,1988,6
SUZUKI,A-STAR,2010,6
NISSAN,LEAF,2015,6
TOYOTA,SOLUNA,2001,6
TOYOTA,AXIO WXB,2016,6
TOYOTA,AQUA,2017,6
MAZDA,FAMILIA,2001,6
SUZUKI,ALTO LXI,2011,6
HYUNDAI,TRAJET,2000,6
SUZUKI,WAGON R FX SAFETY,2018,6
TOYOTA,PASSO,2004,6
TOYOTA,PREMIO G SUPERIOR,2018,6
TOYOTA,VITZ,2005,6
TOYOTA,AQUA S GRADE,2015,6
TOYOTA,VITZ,2002,6
PERODUA,KENARI,2007,6
HONDA,FIT SHUTTLE,2012,6
SUZUKI,WAGON R,2008,6
TOYOTA,VIOS S GRADE,2003,6
SUZUKI,ALTO,2017,6
NISSAN,BLUEBIRD,1999,6
SUZUKI,ZEN ESTILO,2010,6
HONDA,CITY,2000,6
NISSAN,N16,2002,6
TOYOTA,COROLLA DX WAGON,1987,6
HYUNDAI,MATRIX,2001,6
TOYOTA,AXIO X LIMITED,2008,6
BMW,520D,2012,6
TOYOTA,PRIUS,2015,6
SUZUKI,ALTO 800,2014,6
MICRO,PANDA CROSS,2015,6
SUZUKI,MARUTI,2003,6
NISSAN,HB11,1984,6
SUZUKI,SWIFT,2005,6
TOYOTA,AQUA S GRADE,2012,6
HONDA,N BOX CUSTOM,2016,6
TOYOTA,110,1996,6
TOYOTA,COROLLA AE100,1993,6
TOYOTA,ALLION,2002,6
TOYOTA,AXIO,2009,6
FORD,LASER,2000,6
SUZUKI,ALTO SPORT,2011,6
HYUNDAI,ACCENT,2004,5
HONDA,INSIGHT,2012,5
TOYOTA,PREMIO,2019,5
TOYOTA,KE72,1984,5
HONDA,FIT GP5 S GRADE,2013,5
TOYOTA,PREMIO 260,2010,5
TOYOTA,PASSO,2017,5
SUZUKI,ZEN,2006,5
NISSAN,N16,2003,5
HONDA,N WGN,2017,5
NISSAN,SUNNY FB15,2002,5
TOYOTA,PREMIO 240,2002,5
NISSAN,PULSAR,1999,5
TOYOTA,PRIUS,2009,5
TATA,INDIGO,2006,5
TOYOTA,ALLION 240,2005,5
HYUNDAI,EON,2017,5
TOYOTA,PREMIO,2012,5
TOYOTA,PASSO,2005,5
HONDA,GRACE EX,2017,5
TATA,NANO,2015,5
HONDA,FIT GP5 L GRADE,2015,5
TOYOTA,ALLION,2011,5
NISSAN,MARCH K12,2003,5
HYUNDAI,EON MAGNA PLUS,2015,5
NISSAN,FB14 SUPER SALOON,1996,5
NISSAN,MARCH K11,2002,5
TOYOTA,CAMRY,2004,5
MICRO,PANDA CROSS,2012,5
CHERY,QQ,2011,5
CHEVROLET,CRUZE,2002,5
TOYOTA,VITZ EDITION 3,2019,5
SUZUKI,SWIFT,2006,5
DAIHATSU,CHARADE,1989,5
TOYOTA,CARINA,1999,5
TOYOTA,CARINA,1985,5
SUZUKI,ALTO 800,2011,5
SUZUKI,WAGON R,2007,5
SUZUKI,ALTO,2005,5
TOYOTA,AXIO X GRADE,2008,5
SUZUKI,SWIFT CENTER ANTENNA,2003,5
TOYOTA,TANK,2017,5
SUZUKI,SWIFT CENTER ANTENNA,2005,5
NISSAN,DAYZ,2018,5
RENAULT,KWID,2017,5
SUZUKI,SWIFT RS,2018,5
MICRO,PANDA CROSS,2017,5
NISSAN,AD WAGON,2003,5
MICRO,TREND,2012,5
TOYOTA,COROLLA AE110,1999,5
ZOTYE,Z100,2020,5
TOYOTA,COROLLA,2008,5
SUZUKI,MARUTI,2009,5
MITSUBISHI,LANCER,1983,5
